Facility name,City,Adequately immunized %,Exempt %,Conditionally enrolled %,Extended conditionally enrolled %,Out of compliance %
Spanish Oaks School,Spanish Fork,88.4,11.6,0.0,0.0,0.0
Horizon School,Washington,82.0,17.0,1.0,0.0,0.0
Old Mill School,Heber City,82.6,15.1,0.0,2.3,0.0
Overlake School,Tooele,86.7,10.0,0.0,3.3,0.0
Willow School,Grantsville,93.8,6.2,0.0,0.0,0.0
Edith Bowen Laboratory School,Logan,91.7,8.3,0.0,0.0,0.0
Freedom School,Hooper,92.2,5.6,2.2,0.0,0.0
Spring Creek School,Provo,91.5,1.7,0.0,6.8,0.0
Cs Lewis Academy,Santaquin,97.1,2.9,0.0,0.0,0.0
,,,,,,
Spring Lake School,Payson,84.8,15.2,0.0,0.0,0.0
Dual Immersion Academy,Salt Lake City,98.1,1.9,0.0,0.0,0.0
Canyon Rim Academy,Salt Lake City,89.9,8.9,0.0,1.3,0.0
Deerfield School,Cedar Hills,83.6,16.4,0.0,0.0,0.0
Legacy Preparatory Academy,North Salt Lake,91.2,8.8,0.0,0.0,0.0
Foothill School,Orem,88.9,7.4,1.9,1.9,0.0
Creekside School,Kaysville,96.1,1.3,0.0,0.0,2.6
Bluff Ridge School,Syracuse,89.6,5.2,0.0,0.0,5.2
Renaissance Academy,Lehi,84.9,14.0,0.0,1.2,0.0
Lakeside School,West Point,92.2,5.9,0.0,2.0,0.0
,,,,,,
Hayden Peak School,West Jordan,90.2,1.2,7.3,0.0,1.2
Lakeview Academy,Saratoga Springs,83.3,16.7,0.0,0.0,0.0
Fox Hollow School,Lehi,84.5,13.1,0.0,2.4,0.0
Ridgeline School,Highland,86.2,10.8,0.0,3.1,0.0
Iron Springs School,Cedar City,87.2,12.8,0.0,0.0,0.0
Three Peaks School,Cedar City,81.7,18.3,0.0,0.0,0.0
Mount Mahogany School,Pleasant Grove,91.0,6.4,2.6,0.0,0.0
Willow Springs School,Draper,88.3,7.8,0.0,3.9,0.0
Trailside School,Park City,86.1,7.9,0.0,6.0,0.0
Pony Express School,Eagle Mountain,90.0,7.9,0.0,0.0,1.4
,,,,,,
Ellison Park School,Layton,90.5,6.3,1.6,1.6,0.0
Snow Horse School,Kaysville,93.3,6.7,0.0,0.0,0.0
Guadalupe School,Salt Lake City,97.8,0.0,0.0,0.0,2.2
Settlement Canyon School,Tooele,95.0,0.0,0.0,5.0,0.0
Heritage School,Layton,90.3,9.7,0.0,0.0,0.0
Open Classroom,Salt Lake City,74.4,15.4,10.3,0.0,0.0
Escalante School,Salt Lake City,97.6,2.4,0.0,0.0,0.0
Midas Creek School,Riverton,93.3,6.7,0.0,0.0,0.0
Bruin Point School,Sunnyside,58.8,23.5,17.6,0.0,0.0
Freedom School,Highland,86.5,13.5,0.0,0.0,0.0
,,,,,,
Mountain Green School,Mountain Green,78.9,21.1,0.0,0.0,0.0
Falcon Ridge School,West Jordan,90.9,5.2,0.0,3.9,0.0
Mountainside School,Mendon,87.9,12.1,0.0,0.0,0.0
Saratoga Shores School,Saratoga Springs,87.3,9.9,0.0,2.8,0.0
Sand Springs School,Layton,93.9,4.9,0.0,0.0,1.2
Sage Hills School,Saratoga Springs,88.2,11.8,0.0,0.0,0.0
Foxboro School,North Salt Lake,86.3,5.9,0.0,5.9,2.0
American Preparatory Academy The School For New Americans,West Valley City,92.5,1.1,0.0,6.5,0.0
Lakeview School,Provo,90.7,7.5,1.9,0.0,0.0
Silver Hills School,Kearns,82.0,1.6,16.4,0.0,0.0
,,,,,,
Lincoln Academy,Pleasant Grove,75.7,24.3,0.0,0.0,0.0
Canyon School,Hyrum,89.8,7.4,2.8,0.0,0.0
Rose Springs School,Stansbury Park,90.0,10.0,0.0,0.0,0.0
Maria Montessori Academy,Ogden,78.8,15.4,0.0,3.8,0.0
Cherry Creek School,Springville,85.2,13.1,0.0,1.6,0.0
Bear River Charter School,Logan,97.0,3.0,0.0,0.0,0.0
East Meadows School,Spanish Fork,86.6,9.0,3.0,1.5,0.0
Foothills School,Salem,90.2,9.8,0.0,0.0,0.0
Weilenmann School Of Discovery,Park City,94.6,5.4,0.0,0.0,0.0
Orchard Hills School,Santaquin,89.2,10.8,0.0,0.0,0.0
,,,,,,
Sierra Bonita Elementary,Spanish Fork,86.5,13.5,0.0,0.0,0.0
Noah Webster Academy,Orem,91.9,5.4,0.0,1.4,0.0
Mountainville Academy,Alpine,77.9,21.1,0.0,0.0,0.0
Traverse Mountain School,Lehi,86.7,12.2,0.0,1.0,0.0
Channing Hall,Draper,66.2,12.7,21.1,0.0,0.0
Saint Marguerite Catholic School,Tooele,100.0,0.0,0.0,0.0,0.0
Providence Hall,Herriman,79.1,10.8,10.1,0.0,0.0
Quest Academy,West Haven,90.4,9.6,0.0,0.0,0.0
Eagle View School,Fort Duchesne,85.0,10.0,0.0,0.0,5.0
Vista School,Ivins,79.3,20.7,0.0,0.0,0.0
,,,,,,
North Point School,Lehi,85.8,11.7,0.0,1.9,0.6
Silver Crest School,Herriman,90.4,5.3,0.0,4.4,0.0
Shadow Valley School,Ogden,87.5,5.0,0.0,5.0,2.5
Kauri Sue Hamilton,Riverton,94.1,0.0,5.9,0.0,0.0
Elk Run Elementary,Magna,94.8,3.1,0.0,2.1,0.0
Endeavor Hall,West Valley City,82.9,0.0,2.9,5.7,8.6
Fox Hollow School,West Jordan,90.1,7.7,0.0,2.2,0.0
Good Foundations Academy,Riverdale,82.5,14.3,0.0,3.2,0.0
Riverview School,Saratoga Springs,84.7,9.0,0.0,0.9,5.4
Thunder Ridge School,Saratoga Springs,83.2,14.4,2.4,0.0,0.0
,,,,,,
American Heritage School American Fork,American Fork,97.8,2.2,0.0,0.0,0.0
Aspen School,Orem,92.0,6.0,0.0,2.0,0.0
Barratt School,American Fork,89.9,5.8,0.0,4.3,0.0
Bonneville School,Orem,85.7,8.6,5.7,0.0,0.0
Cascade School,Orem,88.0,6.0,3.0,2.0,1.0
Cedar Ridge School,Cedar Hills,91.4,6.2,0.0,2.5,0.0
Central School,Pleasant Grove,90.3,8.1,1.6,0.0,0.0
Alpine School,Alpine,85.7,10.2,0.0,2.0,2.0
Eaglecrest School,Lehi,85.9,11.8,0.0,2.4,0.0
Forbes School,American Fork,86.7,6.0,7.2,0.0,0.0
,,,,,,
Manila School,Pleasant Grove,91.5,8.5,0.0,0.0,0.0
Rocky Mountain School,Lindon,96.7,1.6,1.6,0.0,0.0
Greenwood School,American Fork,90.7,6.5,0.0,0.9,1.9
Grovecrest School,Pleasant Grove,93.0,3.5,1.2,2.3,0.0
Orchard School,Orem,64.4,30.5,0.0,5.1,0.0
Meadow School,Lehi,87.5,12.5,0.0,0.0,0.0
Sego Lily School,Lehi,91.1,5.1,0.0,2.5,1.3
Northridge School,Orem,88.0,12.0,0.0,0.0,0.0
Lindon School,Lindon,92.1,4.8,0.0,3.2,0.0
Highland School,Highland,78.4,21.6,0.0,0.0,0.0
,,,,,,
Shelley School,American Fork,91.3,6.5,0.0,1.1,1.1
Orem School,Orem,86.0,4.7,0.0,5.8,3.5
Legacy School,American Fork,91.8,8.2,0.0,0.0,0.0
Lehi School,Lehi,90.0,6.2,3.8,0.0,0.0
Vineyard School,Vineyard,81.2,10.4,6.2,2.1,0.0
Westmore School,Orem,83.9,6.5,0.0,4.8,4.8
