School,City,Adequately immunized %,Exempt %,District/LEA,Address,Zip,Map,school_type
layton christian academy,layton,86.4,0.0,Layton Christian Academy,2352 E HIGHWAY 193,84040,"geo:41.105142,-111.922214",Private
west valley school,west valley city,97.5,2.5,Granite District,6049 W BRUD DR,84128,"geo:40.703483,-112.035515",Private
saint joseph catholic elementary school,ogden,100.0,0.0,,,,,Public
navigator pointe academy,west jordan,92.1,7.9,,,,,Public
wasatch peak academy,north salt lake,91.5,8.5,Wasatch Peak Academy,414 N CUTLER DRIVE,84054,"geo:40.847089,-111.931324",Public Charter
north star academy,bluffdale,86.0,14.0,,,,,Public
arrowhead school,santa clara,72.9,22.0,Washington District,545 ARROWHEAD TRAIL,84765,"geo:37.118228,-113.632848",Private
odyssey charter school,american fork,82.8,17.2,Odyssey Charter School,738 E QUALITY DR,84003,"geo:40.361601,-111.779667",Public Charter
middle canyon school,tooele,92.1,7.9,Tooele District,751 E 1000 N,84074,"geo:40.55201,-112.278242",Private
hillcrest school,logan,92.0,6.7,Logan City District,960 N 1400 E,84321,"geo:41.74858,-111.798877",Private
mcmillan school,murray,93.3,6.7,Murray District,315 E 5900 S,84107,"geo:40.643051,-111.881989",Private
longview school,murray,92.5,5.0,Murray District,6240 LONGVIEW DR,84107,"geo:40.636844,-111.8754",Private
foothills school,riverton,87.5,0.0,Jordan District,13717 S SHAGGY PEAK,84096,"geo:40.501101,-112.011652",Private
parkside school,murray,83.3,4.2,Murray District,495 E 5175 S,84107,"geo:40.658415,-111.87702",Private
